Relative Path,Original Size,Scale,Has Alpha,File Type,ICC Profile,Lossless Size,Lossless No Alpha Size,lossy_q75_m0_a100,lossy_q75_m0_a80,lossy_q75_m0_no_alpha,lossy_q75_m4_a100,lossy_q75_m4_a80,lossy_q75_m4_no_alpha,lossy_q75_m6_a100,lossy_q75_m6_a80,lossy_q75_m6_no_alpha,lossy_q50_m0_a100,lossy_q50_m0_a80,lossy_q50_m0_no_alpha,lossy_q50_m4_a100,lossy_q50_m4_a80,lossy_q50_m4_no_alpha,lossy_q50_m6_a100,lossy_q50_m6_a80,lossy_q50_m6_no_alpha,lossy_q25_m0_a100,lossy_q25_m0_a80,lossy_q25_m0_no_alpha,lossy_q25_m4_a100,lossy_q25_m4_a80,lossy_q25_m4_no_alpha,lossy_q25_m6_a100,lossy_q25_m6_a80,lossy_q25_m6_no_alpha
images/news/20150405-d2k-blendmodes.png,99770,600x300,False,PNG,None,61390,N/A,N/A,N/A,50890,N/A,N/A,49814,N/A,N/A,48012,N/A,N/A,36754,N/A,N/A,35634,N/A,N/A,33140,N/A,N/A,22110,N/A,N/A,20586,N/A,N/A,17862
images/news/20150628-ts-shroud.png,157490,600x300,False,PNG,None,212524,N/A,N/A,N/A,39058,N/A,N/A,32922,N/A,N/A,30808,N/A,N/A,27974,N/A,N/A,23784,N/A,N/A,22008,N/A,N/A,18874,N/A,N/A,14134,N/A,N/A,12642
images/news/20180825-badges.png,73515,1200x600,False,PNG,None,39586,N/A,N/A,N/A,61614,N/A,N/A,50230,N/A,N/A,48998,N/A,N/A,55180,N/A,N/A,40568,N/A,N/A,39642,N/A,N/A,44874,N/A,N/A,31102,N/A,N/A,29682
images/news/20140602-openra-resources.png,127123,600x350,False,PNG,None,109664,N/A,N/A,N/A,36402,N/A,N/A,28876,N/A,N/A,26992,N/A,N/A,29068,N/A,N/A,21626,N/A,N/A,20150,N/A,N/A,20170,N/A,N/A,14428,N/A,N/A,13470
images/news/20170304-tibsun.png,75193,600x300,True,PNG,None,70286,70286,35044,35044,35044,31344,31344,31344,28884,28884,28884,24604,24604,24604,21136,21136,21136,19068,19068,19068,15084,15084,15084,11878,11878,11878,10344,10344,10344
images/news/20170902-ragl-iv-gnrl.jpg,351197,672x533,False,JPG,None,542418,N/A,N/A,N/A,94338,N/A,N/A,87410,N/A,N/A,85040,N/A,N/A,74802,N/A,N/A,64940,N/A,N/A,61180,N/A,N/A,49964,N/A,N/A,39564,N/A,N/A,34388
images/news/20180923-techtooltips.png,177184,1200x600,False,PNG,None,117390,N/A,N/A,N/A,114232,N/A,N/A,102272,N/A,N/A,96550,N/A,N/A,79586,N/A,N/A,68962,N/A,N/A,63828,N/A,N/A,49416,N/A,N/A,39502,N/A,N/A,34246
images/news/20160904-ts-teaser.png,81923,600x300,True,PNG,None,76932,76932,47430,47430,47430,44662,44662,44662,42078,42078,42078,33982,33982,33982,32186,32186,32186,29332,29332,29332,21688,21688,21688,18882,18882,18882,16866,16866,16866
images/news/20190606-td-sidebar.gif,545519,1200x700,True,GIF,None,172172,172172,162752,162752,162752,151598,151598,151598,142716,142716,142716,117358,117358,117358,104866,104866,104866,96298,96298,96298,75830,75830,75830,63922,63922,63922,59118,59118,59118
images/news/20150919-returntomap.png,33022,600x300,True,PNG,None,33962,33962,23352,23352,23352,19860,19860,19860,18632,18632,18632,19406,19406,19406,15044,15044,15044,13928,13928,13928,14416,14416,14416,10202,10202,10202,9342,9342,9342
